Date,Adj Close,Volume,Symbol
2001-04-04,28.600000381469727,75400,MHK
2001-04-05,29.729999542236328,109900,MHK
2001-04-06,29.270000457763672,117400,MHK
2001-04-09,30.059999465942383,165500,MHK
2001-04-10,30.110000610351562,75300,MHK
2001-04-11,28.139999389648438,220700,MHK
2001-04-12,29.860000610351562,169100,MHK
2001-04-16,28.889999389648438,112600,MHK
2001-04-17,29.399999618530273,270000,MHK
2001-04-18,30.239999771118164,193700,MHK
2001-04-19,30.5,185700,MHK
2001-04-20,31.0,255500,MHK
2001-04-23,31.059999465942383,161400,MHK
2001-04-24,31.5,268000,MHK
2001-04-25,32.20000076293945,368000,MHK
2001-04-26,33.20000076293945,600400,MHK
2001-04-27,33.56999969482422,343300,MHK
2001-04-30,32.65999984741211,320700,MHK
2001-05-01,32.59000015258789,378800,MHK
2001-05-02,32.27000045776367,201800,MHK
2001-05-03,31.6200008392334,237400,MHK
2001-05-04,31.889999389648438,214500,MHK
2001-05-07,31.56999969482422,122100,MHK
2001-05-08,30.920000076293945,174100,MHK
2001-05-09,30.100000381469727,480400,MHK
2001-05-10,30.6200008392334,430700,MHK
2001-05-11,30.0,799400,MHK
2001-05-14,29.950000762939453,140000,MHK
2001-05-15,30.0,642400,MHK
2001-05-16,30.0,628400,MHK
2001-05-17,31.25,422700,MHK
2001-05-18,30.600000381469727,174400,MHK
2001-05-21,30.520000457763672,216600,MHK
2001-05-22,30.389999389648438,184000,MHK
2001-05-23,30.049999237060547,253700,MHK
2001-05-24,30.799999237060547,163400,MHK
2001-05-25,30.959999084472656,119300,MHK
2001-05-29,31.610000610351562,154000,MHK
2001-05-30,31.200000762939453,176100,MHK
2001-05-31,32.029998779296875,232000,MHK
2001-06-01,32.060001373291016,174700,MHK
2001-06-04,31.899999618530273,46200,MHK
2001-06-05,32.209999084472656,80500,MHK
2001-06-06,32.70000076293945,152800,MHK
2001-06-07,32.68000030517578,157100,MHK
2001-06-08,32.790000915527344,60500,MHK
2001-06-11,33.150001525878906,117100,MHK
2001-06-12,33.380001068115234,187200,MHK
2001-06-13,33.97999954223633,632200,MHK
2001-06-14,33.65999984741211,202700,MHK
2001-06-15,33.400001525878906,344700,MHK
2001-06-18,32.869998931884766,352300,MHK
2001-06-19,32.869998931884766,162300,MHK
2001-06-20,33.099998474121094,188700,MHK
2001-06-21,35.099998474121094,309200,MHK
2001-06-22,34.529998779296875,241800,MHK
2001-06-25,34.25,230600,MHK
2001-06-26,34.83000183105469,227700,MHK
2001-06-27,35.0,376900,MHK
2001-06-28,35.459999084472656,169500,MHK
2001-06-29,35.20000076293945,582600,MHK
2001-07-02,35.099998474121094,179600,MHK
2001-07-03,35.0,166900,MHK
2001-07-05,34.84000015258789,151200,MHK
2001-07-06,34.130001068115234,89000,MHK
2001-07-09,33.7400016784668,117500,MHK
2001-07-10,34.0099983215332,419000,MHK
2001-07-11,34.0,174800,MHK
2001-07-12,34.97999954223633,451500,MHK
2001-07-13,35.5,410300,MHK
2001-07-16,35.83000183105469,576100,MHK
2001-07-17,40.77000045776367,2389600,MHK
2001-07-18,41.13999938964844,435200,MHK
2001-07-19,42.36000061035156,582300,MHK
2001-07-20,41.79999923706055,197900,MHK
2001-07-23,42.130001068115234,298200,MHK
2001-07-24,41.95000076293945,300600,MHK
2001-07-25,41.84000015258789,187900,MHK
2001-07-26,42.93000030517578,272500,MHK
2001-07-27,43.779998779296875,156900,MHK
2001-07-30,44.689998626708984,405300,MHK
2001-07-31,44.0,402700,MHK
2001-08-01,43.869998931884766,222200,MHK
2001-08-02,42.849998474121094,193100,MHK
2001-08-03,43.09000015258789,185900,MHK
2001-08-06,43.650001525878906,298500,MHK
2001-08-07,43.93000030517578,239700,MHK
2001-08-08,44.20000076293945,164800,MHK
2001-08-09,43.209999084472656,463500,MHK
2001-08-10,43.209999084472656,270300,MHK
2001-08-13,44.04999923706055,370900,MHK
2001-08-14,44.04999923706055,197100,MHK
2001-08-15,43.22999954223633,205800,MHK
2001-08-16,44.0,214500,MHK
2001-08-17,43.099998474121094,134700,MHK
2001-08-20,43.099998474121094,152600,MHK
2001-08-21,41.68000030517578,376400,MHK
2001-08-22,41.59000015258789,242900,MHK
2001-08-23,41.560001373291016,193200,MHK
2001-08-24,42.40999984741211,126300,MHK
2001-08-27,43.029998779296875,164500,MHK
2001-08-28,42.58000183105469,150300,MHK
2001-08-29,43.45000076293945,228200,MHK
2001-08-30,42.95000076293945,165400,MHK
2001-08-31,44.599998474121094,297300,MHK
2001-09-04,46.220001220703125,340700,MHK
2001-09-05,42.900001525878906,492400,MHK
2001-09-06,42.95000076293945,550100,MHK
2001-09-07,41.70000076293945,242000,MHK
2001-09-10,40.470001220703125,360800,MHK
2001-09-17,35.959999084472656,268200,MHK
2001-09-18,35.599998474121094,819800,MHK
2001-09-19,33.15999984741211,589900,MHK
2001-09-20,32.54999923706055,352000,MHK
2001-09-21,29.940000534057617,547500,MHK
2001-09-24,32.060001373291016,451800,MHK
2001-09-25,35.27000045776367,546400,MHK
2001-09-26,35.119998931884766,651000,MHK
2001-09-27,35.79999923706055,298800,MHK
2001-09-28,36.75,330800,MHK
2001-10-01,36.33000183105469,221100,MHK
2001-10-02,37.810001373291016,219600,MHK
2001-10-03,39.5099983215332,327500,MHK
2001-10-04,39.59000015258789,281100,MHK
2001-10-05,38.59000015258789,313400,MHK
2001-10-08,38.04999923706055,378800,MHK
2001-10-09,38.16999816894531,160500,MHK
2001-10-10,41.04999923706055,305000,MHK
2001-10-11,41.4900016784668,318300,MHK
2001-10-12,41.59000015258789,206400,MHK
2001-10-15,40.38999938964844,153000,MHK
2001-10-16,42.08000183105469,979900,MHK
2001-10-17,42.86000061035156,441400,MHK
2001-10-18,43.06999969482422,466400,MHK
2001-10-19,44.040000915527344,350400,MHK
2001-10-22,45.849998474121094,417500,MHK
2001-10-23,45.2400016784668,265800,MHK
2001-10-24,44.7400016784668,217400,MHK
2001-10-25,44.93000030517578,399300,MHK
2001-10-26,45.0099983215332,552600,MHK
2001-10-29,45.560001373291016,286100,MHK
2001-10-30,43.939998626708984,253700,MHK
2001-10-31,43.20000076293945,540500,MHK
2001-11-01,44.09000015258789,183600,MHK
2001-11-02,44.9900016784668,194700,MHK
2001-11-05,47.40999984741211,491200,MHK
2001-11-06,47.63999938964844,379200,MHK
2001-11-07,47.790000915527344,367400,MHK
2001-11-08,47.75,304700,MHK
2001-11-09,47.459999084472656,177000,MHK
2001-11-12,49.0099983215332,380800,MHK
2001-11-13,51.150001525878906,640100,MHK
2001-11-14,51.900001525878906,544700,MHK
2001-11-15,51.25,354900,MHK
2001-11-16,51.02000045776367,180700,MHK
2001-11-19,51.380001068115234,168500,MHK
2001-11-20,47.279998779296875,2826500,MHK
2001-11-21,46.70000076293945,1159800,MHK
2001-11-23,47.650001525878906,290500,MHK
2001-11-26,46.220001220703125,377500,MHK
2001-11-27,44.77000045776367,594500,MHK
2001-11-28,44.040000915527344,501400,MHK
2001-11-29,46.45000076293945,787500,MHK
2001-11-30,45.86000061035156,383600,MHK
2001-12-03,45.0,291600,MHK
2001-12-04,45.36000061035156,241600,MHK
2001-12-05,47.79999923706055,502700,MHK
2001-12-06,49.880001068115234,538700,MHK
2001-12-07,50.27000045776367,500100,MHK
2001-12-10,53.400001525878906,1841200,MHK
2001-12-11,51.959999084472656,1066400,MHK
2001-12-12,52.619998931884766,556900,MHK
2001-12-13,51.84000015258789,340800,MHK
2001-12-14,51.47999954223633,252100,MHK
2001-12-17,52.52000045776367,391700,MHK
2001-12-18,52.90999984741211,517900,MHK
2001-12-19,52.93000030517578,210800,MHK
2001-12-20,53.0099983215332,369300,MHK
2001-12-21,53.16999816894531,689000,MHK
2001-12-24,54.0,251100,MHK
2001-12-26,54.70000076293945,259900,MHK
2001-12-27,54.9900016784668,508600,MHK
2001-12-28,55.0099983215332,594600,MHK
2001-12-31,54.880001068115234,437900,MHK
2002-01-02,54.689998626708984,410400,MHK
2002-01-03,55.27000045776367,369300,MHK
2002-01-04,56.0099983215332,365500,MHK
2002-01-07,55.599998474121094,207100,MHK
2002-01-08,55.41999816894531,453900,MHK
2002-01-09,55.900001525878906,304200,MHK
2002-01-10,55.11000061035156,327000,MHK
2002-01-11,54.2599983215332,452600,MHK
2002-01-14,53.02000045776367,310400,MHK
2002-01-15,53.06999969482422,340300,MHK
2002-01-16,52.77000045776367,142000,MHK
2002-01-17,52.0099983215332,776100,MHK
2002-01-18,51.90999984741211,271500,MHK
2002-01-22,53.0,344100,MHK
2002-01-23,54.04999923706055,340200,MHK
2002-01-24,54.189998626708984,158500,MHK
2002-01-25,54.25,466300,MHK
2002-01-28,55.060001373291016,582000,MHK
2002-01-29,54.560001373291016,321400,MHK
2002-01-30,54.790000915527344,249200,MHK
2002-01-31,54.959999084472656,352900,MHK
2002-02-01,54.709999084472656,217800,MHK
2002-02-04,54.45000076293945,277300,MHK
2002-02-05,54.38999938964844,355800,MHK
2002-02-06,55.06999969482422,769800,MHK
2002-02-07,54.709999084472656,507900,MHK
2002-02-08,56.599998474121094,1605100,MHK
2002-02-11,59.72999954223633,1062100,MHK
2002-02-12,60.060001373291016,830400,MHK
2002-02-13,59.75,405500,MHK
2002-02-14,59.36000061035156,329700,MHK
2002-02-15,58.9900016784668,278900,MHK
2002-02-19,59.18000030517578,438900,MHK
2002-02-20,60.0,515500,MHK
2002-02-21,61.70000076293945,889300,MHK
2002-02-22,61.47999954223633,422800,MHK
2002-02-25,61.7599983215332,652000,MHK
2002-02-26,63.13999938964844,651100,MHK
2002-02-27,62.25,367200,MHK
2002-02-28,62.93000030517578,564800,MHK
2002-03-01,62.900001525878906,295500,MHK
2002-03-04,65.62999725341797,815100,MHK
2002-03-05,64.05000305175781,466900,MHK
2002-03-06,65.37000274658203,482700,MHK
2002-03-07,66.61000061035156,649400,MHK
2002-03-08,65.5999984741211,395300,MHK
2002-03-11,67.08000183105469,415300,MHK
2002-03-12,67.06999969482422,557000,MHK
2002-03-13,65.47000122070312,452000,MHK
2002-03-14,64.69000244140625,420200,MHK
2002-03-15,64.87000274658203,1147100,MHK
2002-03-18,64.23999786376953,525200,MHK
2002-03-19,65.9000015258789,583500,MHK
2002-03-20,63.900001525878906,2032900,MHK
2002-03-21,61.29999923706055,1078700,MHK
2002-03-22,59.83000183105469,1922700,MHK
2002-03-25,60.369998931884766,899200,MHK
2002-03-26,61.540000915527344,872900,MHK
2002-03-27,60.349998474121094,891200,MHK
2002-03-28,60.09000015258789,838500,MHK
2002-04-01,60.2400016784668,821800,MHK
2002-04-02,58.83000183105469,448900,MHK
2002-04-03,59.599998474121094,460200,MHK
2002-04-04,60.29999923706055,433300,MHK
2002-04-05,61.79999923706055,520100,MHK
2002-04-08,63.0,304900,MHK
2002-04-09,62.20000076293945,633200,MHK
2002-04-10,58.900001525878906,2203700,MHK
2002-04-11,58.900001525878906,767000,MHK
2002-04-12,59.95000076293945,405900,MHK
2002-04-15,58.38999938964844,656500,MHK
2002-04-16,63.27000045776367,2148100,MHK
2002-04-17,63.81999969482422,906300,MHK
2002-04-18,63.7400016784668,425000,MHK
2002-04-19,64.5,606000,MHK
2002-04-22,66.18000030517578,1049100,MHK
2002-04-23,66.08999633789062,701200,MHK
2002-04-24,66.0,395100,MHK
2002-04-25,64.44999694824219,625900,MHK
2002-04-26,64.30000305175781,514600,MHK
2002-04-29,65.0,420200,MHK
2002-04-30,64.33000183105469,350900,MHK
2002-05-01,65.19999694824219,395000,MHK
2002-05-02,65.76000213623047,276300,MHK
2002-05-03,66.30000305175781,348300,MHK
2002-05-06,66.5,776000,MHK
2002-05-07,64.83999633789062,401500,MHK
2002-05-08,65.0199966430664,496300,MHK
2002-05-09,64.36000061035156,295100,MHK
2002-05-10,64.23999786376953,266900,MHK
2002-05-13,64.19000244140625,409400,MHK
2002-05-14,66.1500015258789,575300,MHK
2002-05-15,66.91000366210938,372800,MHK
2002-05-16,65.0199966430664,391400,MHK
2002-05-17,68.43000030517578,1131200,MHK
2002-05-20,69.80000305175781,1336100,MHK
2002-05-21,69.0,749100,MHK
2002-05-22,69.6500015258789,547200,MHK
2002-05-23,68.94000244140625,633500,MHK
2002-05-24,68.30000305175781,606100,MHK
2002-05-28,67.0,567000,MHK
2002-05-29,65.8499984741211,574000,MHK
2002-05-30,66.05000305175781,396400,MHK
2002-05-31,65.5199966430664,370600,MHK
2002-06-03,64.12000274658203,451400,MHK
2002-06-04,62.720001220703125,954300,MHK
2002-06-05,63.400001525878906,639100,MHK
2002-06-06,62.790000915527344,420400,MHK
2002-06-07,62.95000076293945,267400,MHK
2002-06-10,64.25,288100,MHK
2002-06-11,64.37999725341797,406500,MHK
2002-06-12,64.44000244140625,430300,MHK
2002-06-13,63.75,400900,MHK
2002-06-14,64.44999694824219,568600,MHK
2002-06-17,65.58000183105469,407300,MHK
2002-06-18,66.0199966430664,434500,MHK
2002-06-19,66.16000366210938,312800,MHK
2002-06-20,67.05000305175781,516400,MHK
2002-06-21,65.31999969482422,765400,MHK
2002-06-24,63.849998474121094,663200,MHK
2002-06-25,62.810001373291016,469500,MHK
2002-06-26,60.9900016784668,718900,MHK
2002-06-27,62.90999984741211,598500,MHK
2002-06-28,61.529998779296875,718800,MHK
2002-07-01,60.52000045776367,449000,MHK
2002-07-02,59.13999938964844,808000,MHK
2002-07-03,56.47999954223633,925300,MHK
2002-07-05,59.52000045776367,308700,MHK
2002-07-08,60.0099983215332,382400,MHK
2002-07-09,59.56999969482422,324500,MHK
2002-07-10,56.880001068115234,585800,MHK
2002-07-11,56.369998931884766,729000,MHK
2002-07-12,56.54999923706055,832400,MHK
2002-07-15,55.20000076293945,796300,MHK
2002-07-16,47.5,16419600,MHK
2002-07-17,47.77000045776367,2825500,MHK
2002-07-18,49.09000015258789,1505400,MHK
2002-07-19,45.900001525878906,1580000,MHK
2002-07-22,44.97999954223633,1082000,MHK
2002-07-23,43.5,727400,MHK
2002-07-24,45.70000076293945,730100,MHK
2002-07-25,44.68000030517578,784700,MHK
2002-07-26,44.61000061035156,684000,MHK
2002-07-29,46.810001373291016,543300,MHK
2002-07-30,48.290000915527344,716200,MHK
2002-07-31,47.5,503800,MHK
2002-08-01,45.959999084472656,635200,MHK
2002-08-02,43.68000030517578,540700,MHK
2002-08-05,42.86000061035156,437900,MHK
2002-08-06,44.060001373291016,771400,MHK
2002-08-07,44.08000183105469,454900,MHK
2002-08-08,45.43000030517578,365400,MHK
2002-08-09,45.0099983215332,278900,MHK
