,Symbol,GICS Sector
270,JNPR,Information Technology
271,KSU,Industrials
272,K,Consumer Staples
273,KEY,Financials
274,KEYS,Information Technology
275,KMB,Consumer Staples
276,KIM,Real Estate
277,KMI,Energy
278,KLAC,Information Technology
279,KSS,Consumer Discretionary
280,KHC,Consumer Staples
281,KR,Consumer Staples
282,LB,Consumer Discretionary
283,LHX,Industrials
284,LH,Health Care
285,LRCX,Information Technology
286,LW,Consumer Staples
287,LVS,Consumer Discretionary
288,LEG,Consumer Discretionary
289,LDOS,Information Technology
290,LEN,Consumer Discretionary
291,LLY,Health Care
292,LNC,Financials
293,LIN,Materials
294,LYV,Communication Services
295,LKQ,Consumer Discretionary
296,LMT,Industrials
297,L,Financials
298,LOW,Consumer Discretionary
299,LYB,Materials
300,MTB,Financials
301,MRO,Energy
302,MPC,Energy
303,MKTX,Financials
304,MAR,Consumer Discretionary
305,MMC,Financials
306,MLM,Materials
307,MAS,Industrials
308,MA,Information Technology
309,MKC,Consumer Staples
310,MXIM,Information Technology
311,MCD,Consumer Discretionary
312,MCK,Health Care
313,MDT,Health Care
314,MRK,Health Care
315,MET,Financials
316,MTD,Health Care
317,MGM,Consumer Discretionary
318,MCHP,Information Technology
319,MU,Information Technology
320,MSFT,Information Technology
321,MAA,Real Estate
322,MHK,Consumer Discretionary
323,TAP,Consumer Staples
324,MDLZ,Consumer Staples
325,MNST,Consumer Staples
326,MCO,Financials
327,MS,Financials
328,MOS,Materials
329,MSI,Information Technology
330,MSCI,Financials
331,MYL,Health Care
332,NDAQ,Financials
333,NOV,Energy
334,NTAP,Information Technology
335,NFLX,Communication Services
336,NWL,Consumer Discretionary
337,NEM,Materials
338,NWSA,Communication Services
339,NWS,Communication Services
340,NEE,Utilities
341,NLSN,Industrials
342,NKE,Consumer Discretionary
343,NI,Utilities
344,NBL,Energy
345,JWN,Consumer Discretionary
346,NSC,Industrials
347,NTRS,Financials
348,NOC,Industrials
349,NLOK,Information Technology
350,NCLH,Consumer Discretionary
351,NRG,Utilities
352,NUE,Materials
353,NVDA,Information Technology
354,NVR,Consumer Discretionary
355,ORLY,Consumer Discretionary
356,OXY,Energy
357,ODFL,Industrials
358,OMC,Communication Services
359,OKE,Energy
360,ORCL,Information Technology
361,OTIS,Industrials
362,PCAR,Industrials
363,PKG,Materials
364,PH,Industrials
365,PAYX,Information Technology
366,PAYC,Information Technology
367,PYPL,Information Technology
368,PNR,Industrials
369,PBCT,Financials
370,PEP,Consumer Staples
371,PKI,Health Care
372,PRGO,Health Care
373,PFE,Health Care
374,PM,Consumer Staples
375,PSX,Energy
376,PNW,Utilities
377,PXD,Energy
378,PNC,Financials
379,PPG,Materials
380,PPL,Utilities
381,PFG,Financials
382,PG,Consumer Staples
383,PGR,Financials
384,PLD,Real Estate
385,PRU,Financials
386,PEG,Utilities
387,PSA,Real Estate
388,PHM,Consumer Discretionary
389,PVH,Consumer Discretionary
390,QRVO,Information Technology
391,PWR,Industrials
392,QCOM,Information Technology
393,DGX,Health Care
394,RL,Consumer Discretionary
395,RJF,Financials
396,RTX,Industrials
397,O,Real Estate
398,REG,Real Estate
399,REGN,Health Care
400,RF,Financials
401,RSG,Industrials
402,RMD,Health Care
403,RHI,Industrials
404,ROK,Industrials
405,ROL,Industrials
406,ROP,Industrials
407,ROST,Consumer Discretionary
408,RCL,Consumer Discretionary
409,SPGI,Financials
410,CRM,Information Technology
411,SBAC,Real Estate
412,SLB,Energy
413,STX,Information Technology
414,SEE,Materials
415,SRE,Utilities
416,NOW,Information Technology
417,SHW,Materials
418,SPG,Real Estate
419,SWKS,Information Technology
420,SLG,Real Estate
421,SNA,Industrials
422,SO,Utilities
423,LUV,Industrials
424,SWK,Industrials
425,SBUX,Consumer Discretionary
426,STT,Financials
427,STE,Health Care
428,SYK,Health Care
429,SIVB,Financials
430,SYF,Financials
431,SNPS,Information Technology
432,SYY,Consumer Staples
433,TMUS,Communication Services
434,TROW,Financials
435,TTWO,Communication Services
436,TPR,Consumer Discretionary
437,TGT,Consumer Discretionary
438,TEL,Information Technology
439,FTI,Energy
440,TFX,Health Care
441,TXN,Information Technology
442,TXT,Industrials
443,TMO,Health Care
444,TIF,Consumer Discretionary
445,TJX,Consumer Discretionary
446,TSCO,Consumer Discretionary
447,TT,Industrials
448,TDG,Industrials
449,TRV,Financials
450,TFC,Financials
451,TWTR,Communication Services
452,TSN,Consumer Staples
453,UDR,Real Estate
454,ULTA,Consumer Discretionary
455,USB,Financials
456,UAA,Consumer Discretionary
457,UA,Consumer Discretionary
458,UNP,Industrials
459,UAL,Industrials
460,UNH,Health Care
461,UPS,Industrials
462,URI,Industrials
463,UHS,Health Care
464,UNM,Financials
465,VFC,Consumer Discretionary
466,VLO,Energy
467,VAR,Health Care
468,VTR,Real Estate
469,VRSN,Information Technology
470,VRSK,Industrials
471,VZ,Communication Services
472,VRTX,Health Care
473,VIAC,Communication Services
474,V,Information Technology
475,VNO,Real Estate
476,VMC,Materials
477,WRB,Financials
478,WAB,Industrials
479,WMT,Consumer Staples
480,WBA,Consumer Staples
481,DIS,Communication Services
482,WM,Industrials
483,WAT,Health Care
484,WEC,Utilities
485,WFC,Financials
486,WELL,Real Estate
487,WST,Health Care
488,WDC,Information Technology
489,WU,Information Technology
490,WRK,Materials
491,WY,Real Estate
492,WHR,Consumer Discretionary
493,WMB,Energy
494,WLTW,Financials
495,WYNN,Consumer Discretionary
496,XEL,Utilities
497,XRX,Information Technology
498,XLNX,Information Technology
499,XYL,Industrials
500,YUM,Consumer Discretionary
501,ZBRA,Information Technology
502,ZBH,Health Care
503,ZION,Financials
504,ZTS,Health Care
